medecin ,nom_etab,service,journee
Medecin_etab1_94,ETAB1,OPHTALMOLOGIE,Jeudi
Medecin_etab1_95,ETAB1,OPHTALMOLOGIE,Vendredi
Medecin_etab1_96,ETAB1,OPHTALMOLOGIE,Samedi
Medecin_etab2_11,ETAB2,CHIRURGIE,Lundi
Medecin_etab2_12,ETAB2,CHIRURGIE,Mardi
Medecin_etab2_13,ETAB2,CHIRURGIE,Mercredi
Medecin_etab2_14,ETAB2,CHIRURGIE,Jeudi
Medecin_etab2_15,ETAB2,CHIRURGIE,Vendredi
Medecin_etab2_21,ETAB2,DERMATOLOGIE,Lundi
Medecin_etab2_22,ETAB2,DERMATOLOGIE,Mardi
Medecin_etab2_23,ETAB2,DERMATOLOGIE,Mercredi
Medecin_etab2_24,ETAB2,DERMATOLOGIE,Jeudi
Medecin_etab2_25,ETAB2,DERMATOLOGIE,Vendredi
Medecin_etab2_26,ETAB2,DERMATOLOGIE,Samedi
Medecin_etab2_41,ETAB2,PEDIATRIE,Lundi
Medecin_etab2_42,ETAB2,PEDIATRIE,Mardi
Medecin_etab2_43,ETAB2,PEDIATRIE,Mercredi
Medecin_etab2_44,ETAB2,PEDIATRIE,Jeudi
Medecin_etab2_45,ETAB2,PEDIATRIE,Vendredi
Medecin_etab2_46,ETAB2,PEDIATRIE,Samedi
Medecin_etab2_51,ETAB2,CARDIOLOGIE,Lundi
Medecin_etab2_52,ETAB2,CARDIOLOGIE,Mardi
Medecin_etab2_53,ETAB2,CARDIOLOGIE,Mercredi
Medecin_etab2_54,ETAB2,CARDIOLOGIE,Jeudi
Medecin_etab2_55,ETAB2,CARDIOLOGIE,Vendredi
Medecin_etab2_56,ETAB2,CARDIOLOGIE,Samedi
Medecin_etab2_61,ETAB2,GYNECOLOGIE,Lundi
Medecin_etab2_62,ETAB2,GYNECOLOGIE,Mardi
Medecin_etab2_63,ETAB2,GYNECOLOGIE,Mercredi
Medecin_etab2_64,ETAB2,GYNECOLOGIE,Jeudi
Medecin_etab2_65,ETAB2,GYNECOLOGIE,Vendredi
Medecin_etab2_66,ETAB2,GYNECOLOGIE,Samedi
Medecin_etab2_71,ETAB2,GASTRO ENTEROLOGIE,Lundi
Medecin_etab2_72,ETAB2,GASTRO ENTEROLOGIE,Mardi
Medecin_etab2_73,ETAB2,GASTRO ENTEROLOGIE,Mercredi
Medecin_etab2_74,ETAB2,GASTRO ENTEROLOGIE,Jeudi
Medecin_etab2_75,ETAB2,GASTRO ENTEROLOGIE,Vendredi
Medecin_etab2_76,ETAB2,GASTRO ENTEROLOGIE,Samedi
Medecin_etab2_81,ETAB2,MEDECINE INTERNE,Lundi
Medecin_etab2_82,ETAB2,MEDECINE INTERNE,Mardi
Medecin_etab2_83,ETAB2,MEDECINE INTERNE,Mercredi
Medecin_etab2_84,ETAB2,MEDECINE INTERNE,Jeudi
Medecin_etab2_85,ETAB2,MEDECINE INTERNE,Vendredi
Medecin_etab2_86,ETAB2,MEDECINE INTERNE,Samedi
