"Gouvernorat","Délégation","Nombre de pharmacies"
"LE KEF","SERS","3"
"LE KEF","TAJEROUINE","4"
"LE KEF","TOUIREF","1"
"MAHDIA","BOUMERDAS","3"
"MAHDIA","BRADAA","2"
"MAHDIA","CHEBBA","4"
"MAHDIA","CHORBANE","3"
"MAHDIA","EL JEM","7"
"MAHDIA","HBIRA","1"
"MAHDIA","KSOUR ESSAF","4"
"MAHDIA","MAHDIA","12"
"MAHDIA","MELLOULECHE","2"
"MAHDIA","OULED CHAMEKH","2"
"MAHDIA","REJICHE","2"
"MAHDIA","SIDI ALOUANE","4"
"MAHDIA","SOUASSI","6"
"MANOUBA","BORJ EL AMRI","3"
"MANOUBA","DOUAR HICHER","11"
"MANOUBA","EL BATTAN","2"
"MANOUBA","JEDEIDA","6"
"MANOUBA","MANOUBA","18"
"MANOUBA","MORNAGUIA","6"
"MANOUBA","OUED ELLIL","10"
"MANOUBA","TEBOURBA","7"
"MEDENINE","BEN GUERDANE","14"
"MEDENINE","BENI KHEDACHE","2"
"MEDENINE","HOUMT SOUK","21"
"MEDENINE","JERBA AJIM","2"
"MEDENINE","JERBA MIDOUN","18"
"MEDENINE","MEDENINE NORD","15"
"MEDENINE","MEDENINE SUD","5"
"MEDENINE","SIDI MAKHLOUF","2"
"MEDENINE","ZARZIS","17"
"MONASTIR","BEKALTA","3"
"MONASTIR","BEMBLA","4"
"MONASTIR","BENI HASSEN","2"
"MONASTIR","JEMMAL","12"
"MONASTIR","KSAR HELLAL","11"
"MONASTIR","KSIBET MEDIOUNI","5"
"MONASTIR","MOKNINE","15"
"MONASTIR","MONASTIR","30"
"MONASTIR","OUERDANINE","3"
"MONASTIR","SAHLINE","8"
"MONASTIR","SAYADA LAMTA BOUHJAR","3"
"MONASTIR","TEBOULBA","7"
"MONASTIR","ZERAMDINE","3"
"NABEUL","BENI KHALLED","8"
"NABEUL","BENI KHIAR","8"
"NABEUL","BOUARGOUB","4"
"NABEUL","DAR CHAABANE FEHRI","10"
"NABEUL","EL HAOUARIA","5"
"NABEUL","EL MIDA","4"
"NABEUL","GROMBALIA","15"
"NABEUL","HAMMAM GHEZAZ","2"
"NABEUL","HAMMAMET","32"
"NABEUL","KELIBIA","12"
"NABEUL","KORBA","11"
"NABEUL","MENZEL BOUZELFA","7"
"NABEUL","MENZEL TEMIME","12"
"NABEUL","NABEUL","23"
"NABEUL","SLIMENE","11"
"NABEUL","TAKELSA","3"
"SFAX","AGAREB","4"
"SFAX","BIR ALI BEN KHALIFA","5"
"SFAX","COMMUNE SAKIET EDDAYER","14"
"SFAX","COMMUNE SFAX","80"
"SFAX","EL AMRA","3"
"SFAX","EL HANCHA","4"
"SFAX","GHRIBA","1"
"SFAX","JEBENIANA","6"
"SFAX","KERKENNAH","2"
"SFAX","MAHRES","5"
"SFAX","MENZEL CHAKER","3"
"SFAX","SAKIET EZZIT","25"
"SFAX","SFAX SUD","32"
"SFAX","SKHIRA","4"
"SFAX","THYNA","10"
"SIDI BOUZID","BIR EL HFAY","3"
"SIDI BOUZID","CEBALET OULED ASKER","2"
"SIDI BOUZID","ESSAIDA","2"
"SIDI BOUZID","HICHRIA","1"
"SIDI BOUZID","JELMA","4"
"SIDI BOUZID","MEKNASSY","2"
"SIDI BOUZID","MENZEL BOUZAIANE","2"
"SIDI BOUZID","MEZZOUNA","2"
"SIDI BOUZID","OULED HAFFOUZ","2"
"SIDI BOUZID","REGUEB","4"
"SIDI BOUZID","SIDI ALI BEN AOUN","2"
"SIDI BOUZID","SIDI BOUZID EST","4"
"SIDI BOUZID","SIDI BOUZID OUEST","12"
"SIDI BOUZID","SOUK JEDID","1"
"SILIANA","BARGOU","1"
"SILIANA","BOUARADA","2"
"SILIANA","BOUROUIS","1"
"SILIANA","EL AROUSSA","1"
"SILIANA","GAAFOUR","2"
"SILIANA","KESRA","1"
"SILIANA","KRIB","2"
"SILIANA","MAKTHAR","3"
"SILIANA","ROUHIA","2"
"SILIANA","SILIANA NORD","5"
"SILIANA","SILIANA SUD","3"
"SOUSSE","AKOUDA","8"
"SOUSSE","BOUFICHA","3"
"SOUSSE","COMMUNE EZZOUHOUR","5"
"SOUSSE","COMMUNE KSIBA THRAYET","4"
"SOUSSE","COMMUNE SOUSSE","59"
"SOUSSE","COMMUNE ZAOUIET SOUSSE","7"
"SOUSSE","ENFIDHA","7"
"SOUSSE","HAMMAM SOUSSE","12"
"SOUSSE","HERGLA","1"
"SOUSSE","KALAA KEBIRA","8"
"SOUSSE","KALAA SGHIRA","5"
"SOUSSE","KONDAR","2"
"SOUSSE","M'SAKEN","16"
"SOUSSE","SIDI BOU ALI","2"
"SOUSSE","SIDI EL HANI","1"
"TATAOUINE","BENI MHIRA","1"
"TATAOUINE","BIR LAHMAR","1"
"TATAOUINE","DHEHIBA","1"
"TATAOUINE","GHOMRASSEN","3"
"TATAOUINE","REMADA","1"
"TATAOUINE","SMAR","1"
"TATAOUINE","TATAOUINE NORD","4"
"TATAOUINE","TATAOUINE SUD","9"
"TOZEUR","DEGUECHE","2"
"TOZEUR","HAMET JRID","1"
"TOZEUR","HAZOUA","1"
"TOZEUR","NEFTA","3"
"TOZEUR","TAMAGHZA","1"
"TOZEUR","TOZEUR","6"
"TUNIS","CARTHAGE","6"
"TUNIS","COMMUNE SIDI HESSINE","16"
"TUNIS","COMMUNE TUNIS","183"
"TUNIS","LA GOULETTE","14"
"TUNIS","LA MARSA","27"
"TUNIS","LE BARDO","20"
"TUNIS","LE KRAM (ANCIEN EL BHIRA)","22"
"ZAGHOUAN","BIR MCHARGUA","2"
"ZAGHOUAN","EL FAHS","7"
"ZAGHOUAN","NADHOUR","4"
"ZAGHOUAN","SAOUAF","1"
"ZAGHOUAN","ZAGHOUAN","8"
"ZAGHOUAN","ZRIBA","3"
