Nom_Association,gov_name_a,gov_id,Subvention
جمعية سنا سفيطلة للتنمية الثقافية,القصرين,42,4000
جمعية المهرجان المغاربي سيدي التليل بفريانة,القصرين,42,10000
جمعية خيمة علي بن غذاهم للشعر العربي بجدليان,القصرين,42,7000
جمعية مهرجان العبادلة الدولي بسبيطلة,القصرين,42,70000
جمعية مهرجان السيليوم الدولي,القصرين,42,70000
جمعيّة الطّموح الثقافيّة,سيدي بوزيد,43,5000
جمعية مهرجان المدينة سيدي بوزيد,سيدي بوزيد,43,10000
جمعية المهرجان المغاربي سيدي علي بن عون,سيدي بوزيد,43,10000
جمعيّة مهرجان الاغنية الريفية والشعر الشعبي بالمزونة,سيدي بوزيد,43,6000
جمعية فنون للثقافة واحياء التراث,سيدي بوزيد,43,4000
جمعية المهرجان الصيفي سيدي بوزيد,سيدي بوزيد,43,45000
جمعية النهوض بمجلة مرآة الوسط,سيدي بوزيد,43,7000
جمعية جيران القمر للثقافة والاعلام ,سيدي بوزيد,43,3000
جمعية مهرجان الجواد العربي الاصيل بالمكناسي,سيدي بوزيد,43,5000
جمعيّة مهرجان الحامّة الدولي,قابس,51,30000
جمعية المواطنون الراقصون الجنوب,قابس,51,4000
جمعية مهرجان مطماطة الدولي,قابس,51,10000
جمعية جسور للفيلم العربي بقابس,قابس,51,25000
جمعية مهرجان المرقوم بوذرف,قابس,51,3000
جمعية مهرجان قابس الدولي,قابس,51,50000
جمعية مهرجان الحنّة بشننّي,قابس,51,5000
جمعية الثقافة والتراث بدخيلة توجان,قابس,51,5000
جمعية الارادة بقابس,قابس,51,7500
 جمعيّـة الرابطة القلمية بمدنين,مدنين,52,5000
الجمعية العربية لتنمية الجنوب وحماية التراث,مدنين,52,5000
 جمعيّـة مهرجان ورغمّة للتراث الشعبي,مدنين,52,3000
جمعيّة النهوض المسرحي بمدنين,مدنين,52,5000
جمعية التنشيط الثقافي بجربة,مدنين,52,3000
جمعية نادي اليونسكو والالكسو بمدنين,مدنين,52,4000
جمعية الدراسات الادبية والحضارية بمدنين,مدنين,52,3000
جمعية مهرجان مدنين الصيفي,مدنين,52,20000
جمعيّة الخوى للتراث والفنون الاصيلة,تطاوين,54,3000
جمعية ملتقى الجنوب للثقافة والفنون,تطاوين,54,10000
جمعية مدى للمسرح,تطاوين,54,5000
جمعية الكوكب الايجابي بتطاوين,تطاوين,54,4000
جمعية صيانة التراث بغمراسن,تطاوين,54,7500
جمعية مهرجان عمر خلفت للمسرح,تطاوين,54,25000
جمعيّة مسرح الصّمود ام العرائس,قفصة,61,3000
جمعيّة احباء الثقافة بالسند,قفصة,61,4000
الجمعية الوطنية للتنمية والدراسات الاستراتيجية,قفصة,61,3000
جمعية الامل المسرحي بالرديف,قفصة,61,3500
جمعية مهرجان قفصة للمسرح الدولي,قفصة,61,15000
جمعية المهرجان الوطني للشعر بالمتلوي,قفصة,61,3000
جمعية احباء كاريكاتير قفصة,قفصة,61,3500
جمعية مسرح الوفاء بقفصة,قفصة,61,4000
جمعية مهرجان ربيع السياحة بالقطار,قفصة,61,5000
جمعية ناس للمسرح بقفصة,قفصة,61,6000
الجمعية التونسية للثقافة الشعبية,قفصة,61,10000
جمعية ارادة الحياة للشعر الشعبي بالجريد,توزر,62,3000
جمعية مهرجان تقيوس الثقافي بدقاش,توزر,62,10000
جمعية المهرجان الدولي للشعر بتوزر,توزر,62,12000
جمعية صوت الجنوب الثقافية,توزر,62,3000
جمعية افراح الجريد الصيفي,توزر,62,11000
جمعية فنون الجريد,توزر,62,4000
جمعية مهرجان نفطة الصيفي,توزر,62,5000
جمعية مهرجان بوهلال للسياحة والتراث بدقاش,توزر,62,3000
جمعية فرقة بلدية دوز,قبلي,63,19000
