   ;ENTREPRISE;CODE_SEC;VILLE_SIEGE;ADRESSE;TEL;FAX
2904;SOCIETE GOLF POUR L'INDUSTRIE DES MEUBLES ET ELECTROMENAGER - GIME;IME;MONASTIR;Avenue 7 Novembre BEMBLA;73 420 429;73 420 429
2905;SOCIETE INTERNATIONAL CABLES;IME;MONASTIR;Rue de l'Ecole Mazdour;73 414 444;73 414 445
2906;SOCIETE KAIS TURKMEN;IME;MONASTIR;Avenue 7 Novembre;73 461 573;73 461 973
2907;SOCIETE LES INDUSTRIES METALLIQUES DU CENTRE - IMC;IME;MONASTIR;Route de Sousse ZI Sahline;73 526 460;73 526 420
2908;SOCIETE METALLURGIQUE  DU CENTRE - SMC;IME;MONASTIR;BP 22 Rue 23 Janvier Teboulba;73 420 912;73 420 911
2909;SOCIETE MODERNE METAL;IME;MONASTIR;Route de Sousse Mesjed Aissa;73 422 018;73 422 021
2910;SOCIETE OLEO DYNAMIQUE TUNISO ITALIENNE - SOTI ( Ex CMP);IME;MONASTIR;13 Rue Ibn Badis Téboulba;73 493 113;73 493 114
2911;SOCIETE OPTRONIC;IME;MONASTIR;AV HABIB BOURGUIBA, SAYADA;73547980;73547980
2912;SOCIETE PROTECH 2;IME;MONASTIR;Zone 2 CHIHA;73 534 104;73 534 022
2913;SOCIETE PSZ TUNISIE;IME;MONASTIR;ZI Haj Ali Soua Cité El Ramla Ksar Hellal;73 540 826;73 540 830
2914;SOCIETE RIBS INTERNATIONAL;IME;MONASTIR;Route de Sousse Mahdia ML83-BP n°17;73 528 131;73 528 132
2915;SOCIETE TUNISIENNE DE TRANSFORMATION DE METAL - STTM;IME;MONASTIR;route de Moknine BP N°103;73 494 600/73479703;73 493 964/73479707
2916;SOCIETE WATTS INDUSTRIES TUNISIA;IME;MONASTIR;ZI Route de Khniss BP 90 -5000 Monastir;73530400;73530401
2917;SOMALEC;IME;MONASTIR;Rue Abdallah Farhat - Ouerdanine;73 533 189;73 533 188
2918;STE CIM;IME;MONASTIR;Route de Khniss ZI;73 531 075;73 530 132
2919;STE CIV TUNISIE;IME;MONASTIR;Rue Sakiet Sidi Youssef BP 80 Sahline;73 513 133;73 513 135
2920;STE DE TUBES PLASTIQUES ET DE CUIVRE(EX STE TUNISIENNE DE PROFILES DE CUIVRE) - STPC;IME;MONASTIR;2102 Rue Medhat Pacha Immeuble B 2 ième étage N°4;71 259 900;71 350 520
2921;STE MEDITERRANEAN UNITED INDUSTRIES  MEDUNI;IME;MONASTIR;Avenue habib bourguiba bouhjar;73436475;73436489
2922;"STE RENOVATION PIECES AUTO "" RPA""";IME;MONASTIR;Avenue Habib Bourguiba Touza;73 598 118;73 598 118
2923;TRANSWIRE;IME;MONASTIR;Z.I. Route de Khniss;73 468 571;73 468 572
2924;AMEN;IME;NABEUL;Avenue 20 Mars Zaouit Jedidi Béni Khalled;72 370 906;72 370 916
2925;ATELIER MICROELECTRONIQUE ET INTEGRATION - AMI;IME;NABEUL;BP 25 Avenue Fadhel Ben Achour BENI KHIAR;72 238 440;72 238 460
2926;ATELIER TUNISIEN DE SOUDAGE ET CINTRAGE - ATSC;IME;NABEUL;ZI EL MAZRAA;72234116;72234130
2927;ATELIERS MODERNES DE GROMBELIA;IME;NABEUL;Rue de Cosmos ZI Grombelia;72 255 644;72 255 989
2928;ATEMS;IME;NABEUL;Route de Tunis Km 6 BP 199 Soliman;72 399 414;72 399 291
2929;AUTOMOTIVE ITAL CONNECTOIN;IME;NABEUL;Route de Latrache Bir Bouragba;72 316 968;72 316 968
2930;BOITE METALIQUETUNISIENNE BMT;IME;NABEUL;43 Avenue Habib BOURGUIBA;71254429;71254429
2931;CABLE TECH;IME;NABEUL;Cité Romana 2 Imm Laatrous Hamda Grombalia;25 486 000;72 256 345
2932;COMMECA TUNISIE;IME;NABEUL;ZI dar Chaâbane El Fehry;72 363 841;72 363 866
2933;CONECTA;IME;NABEUL;Route de Menzel Bouzelfa Km 1;72 290 149;72 290 863
2934;CONNECTIQUE NABEUL TUNISIE-CNT;IME;NABEUL;50 Dar Chaabane;72 239239;72 239145
2935;ELEBAS;IME;NABEUL;AV Fayçal Ibn Abdelaziz Hammamet;72 261 735;72 261 735
2936;ESPADON CONCEPT;IME;NABEUL;Route de korbous km 5 el Marja Soliman;31 329 981;32 405 560
2937;ETABLISSEMENTS BEN LAMINE FRIGOTECHNIQUE;IME;NABEUL;93 Avenue Bellevue El Ouardia;71 492 000;71 484 815
2938;EURELECTRIC TUNISIE;IME;NABEUL;Rue Borj Allem Route de Korbous Soliman;72 333 337;72 333 338
2939;EURO MEDITERRANEE TECHNOLOGIES - EMT;IME;NABEUL;Avenue Khemais Oumaya, BENI KHALLED;72 372 906;72 372 907
2940;FONDERIE MODERNE DE TUNISIE;IME;NABEUL;Z.I. Route de Tunis  Km 4 KORBA;72 384 588;72 384 011
2941;GEMA;IME;NABEUL;ZI Barraket Essahel Route Sidi Jdidi Hammamet;72 226 777;72 310 377
2942;GIF - SOCIETE GENERALE INDUSTRIELLE DE FILTRATION;IME;NABEUL;GP1 Route de Sousse Km 35  Grombalia;72 255 844;72 255 629
2943;GLOBE ELECTRONIC;IME;NABEUL;Route de Tunis KM6 -BP18 Soliman 8020;72250240;72250460
2944;GLOBE TECHNOLOGIES;IME;NABEUL;Km 6 Route de Tunis BP 18 Soliman;72 399 181;72 399 291
2945;HUB MEDICAL;IME;NABEUL;Rue Moussa Ibn Nousair ZI Grombalia;72 214 374;
2946;JP ELECTRONIC SARL;IME;NABEUL;Zone Industrielle, Cité Nessime, BENI KHIAR;72 238 440;72 238 460
2947;LE MONDE DU CABLE;IME;NABEUL;ZI route de SomÃ¢a, BÃ©ni Khiar ;72238200;72238138
2948;MAGHREB COMMANDES;IME;NABEUL;BP 18 - 8020 SOLIMAN;72 250 240;72 250 460
2949;MAGMET;IME;NABEUL;Route de Sousse Km 25.5 GP 1 Fondouk Jedid BP 40;72 399 057;72 399 057
2950;NERVA;IME;NABEUL;Z.I. Ben Arous;71 381 688;71 380 970
2951;NOALIA PRODUCTION TUNISIA;IME;NABEUL;"BP 91
Boulevard  de l'environnement 
Beni khiar
Nabeul";72229656;72229586
2952;OXY 3000 (Ex SOCIETE OXYMETAL TUNISIE);IME;NABEUL;Route de Korbous ZI Soliman;72 392 929;72 290 339
2953;RIALTECH;IME;NABEUL;Rue Sidi Salah Soliman;72 391 138;72 391 139
2954;SAIEP MED;IME;NABEUL;Cité Rommana V route de Béni Khaled;50 440 098/72256132;
2955;SIME- STE ILLE DE MATERIELS ELECTROTECHNIQUES;IME;NABEUL;37 Rue Chedly Kallala Tunis;71 785 713;71 784 659
2956;SOCIETE ASSEMBLAGE CONNECTIQUE SYSTEMES - ACS;IME;NABEUL;Route de Kalbia;72 214 076;72 213 926
2957;SOCIETE AUTO CABLES TUNISIE;IME;NABEUL;ZI Grombalia;72 211 618;72 255 924
2958;SOCIETE BEL HADJ ALI AHMED - SBA;IME;NABEUL;Rue des Fleurs;72 239 450;72 228 522
2959;SOCIETE CONNEXT;IME;NABEUL;BP 50 ;72239239;72239145
2960;SOCIETE CONTACT;IME;NABEUL;Z.I Grombalia;72 256 755/72213636;72 256 755/72225811
2961;SOCIETE ELECTRIC MOTORS;IME;NABEUL;6 Place El Quods Ariana Supérieure;;
2962;SOCIETE ELMAT;IME;NABEUL;Route Menzel Bouzelfa;72 390 165;72 390 165
2963;SOCIETE EMBALTECH TUNISIE;IME;NABEUL;Km 4,5 Route de Beni Khalled;72 214 150;72 212 983
2964;SOCIETE ENCIT;IME;NABEUL;Z.I. Barraket Essahel;72 248 501;72 227 253
2965;SOCIETE ERECA;IME;NABEUL;Route Menzel Bouzelfa Km 1 Z I Soliman;72 391 481;72 290 405
2966;SOCIETE EUROCAVI;IME;NABEUL;Avenue Fayçal Ben Abdelaziz Hammamet;72 266 433;72 266 488
2967;SOCIETE EYEMAC;IME;NABEUL;App 6B, 8 bis rue appollo Mutuelle ville;71 780 089;71 780 089
2968;SOCIETE FONDERIE SASSI ET FILS;IME;NABEUL;ROUTE DE TUNIS KM 30 TOUTA;72 215 437;72 215 433
2969;SOCIETE FRIGOMEUBLES;IME;NABEUL;93 Avenue Bellevue OUARDIA;71 492 000;71 484 815
2970;SOCIETE GALVANISATION INJECTION PLASTIQUE & PEINTURE - GI2P;IME;NABEUL;Rue Echrifett - SOLIMAN;72 333 645;72 333 648
2971;SOCIETE GLOBAL HARNESS TECHNOLOGY;IME;NABEUL;Route Latrach Bir Bouregba;72 316 800;72 316 801
2972;SOCIETE HYCO INDUSTRIES;IME;NABEUL;Niano Grombalia;72 204 724/98226545;72 214 824
2973;SOCIETE INDUSTRIE ET MONTAGE DE CABLES;IME;NABEUL;Zaouiet Jedidi Route de Grombalia Béni Khalled BP 314 Béni Khalled;72 373 566/68;72 373 567
2974;SOCIETE INDUSTRIELLE CABLES ELECTRIQUES TUNISIE - ICE;IME;NABEUL;ZI Bou Argoub;72 259 677;72 259 677
2975;SOCIETE INDUSTRIELLE D'APPAREILLAGE ET DE MATERIELS ELECTRIQUES - SIAME;IME;NABEUL;Rue des mathèmatique Z.I Grombalia;72 255 700;72 255 811
2976;SOCIETE INDUSTRIELLE DE CONSTRUCTION - SICO;IME;NABEUL;ROUTE DE KORBOUS ZI SOLIMAN BP301;21672392923;21672390333
2977;SOCIETE INDUSTRIELLE DE MONTAGE ET ASSEMBLAGE SIMA;IME;NABEUL;ZI Bouargoub;72 258 608;72 258 640
2978;SOCIETE KARMEX;IME;NABEUL;ZI Grombalia;72 213 810/800;72 214 445
2979;SOCIETE KEB ELECTRIQUE;IME;NABEUL;ZI Beni Khiar route Somaa;72 239 007;72 229 867
2980;SOCIETE LA BOITE METALLIQUE TUNISIENNE - BMT;IME;NABEUL;43 Avenue Habib Bourguiba;71 348 968;71 254 429
2981;SOCIETE L'ACCUMULATEUR TUNISIEN ASSAD;IME;NABEUL;Z.I Ben Arous BP N° 7;71 381 688;71 389 380
2982;SOCIETE LOOK DESIGN SYSTEM - LDS;IME;NABEUL;Route de Tunis Km 6 Soliman;72 399 177;72 399 339
2983;SOCIETE MAGHREB COMMANDES FLEXIBLES - MACOFLEX;IME;NABEUL;Route de Tunis Km 6 Soliman;72 399 290;72 399 474
2984;SOCIETE MAGHREB COMPTEUR;IME;NABEUL;Rue de l'Astronomie, Z.I. Grombalia;72 255 644;72 255 989
2985;SOCIETE MANPROTEC;IME;NABEUL;Route Ain Tebourbak BP 30;72 255 304;72 256 270
2986;SOCIETE MECANO METAL;IME;NABEUL;Route de Boucharray Km 1 Soliman;24 170 867/99279130;
2987;SOCIETE MEL;IME;NABEUL;Route de Beni Khalled Km 1.5;72 255 949;72 257 081
2988;SOCIETE MERSA;IME;NABEUL;Rue du Cosmos BP 21 ZI Grombalia;72 255 644;72 255 989
2989;SOCIETE PLASTIFICATION METAL;IME;NABEUL;Rue de la Science Z.I Grombalia;72 256 882;72 256 743
2990;SOCIETE PM INDUSTRIE;IME;NABEUL;Zone des petits métiers Dar Châabane;72224423/404;72224808
2991;SOCIETE POLYMED;IME;NABEUL;Route de Grombalia Km 17 Soliman;72 213 937;72 213 182
2992;SOCIETE PROFIL METAL RACCORD;IME;NABEUL;70 Rue 18 Janvier 1952;71 353 163;71 342 914
2993;SOCIETE RE-CARTRIDGE ET TECHNOLOGIE D'IMPRESSION - RCT;IME;NABEUL;Rue des agrumes Beni khalled;72 391 253;72 392 393
2994;SOCIETE REFRIGERATION EQUIPEMENT INDUSTRIEL - REI;IME;NABEUL;Z.I GROMBALIA;72 255 481;72 255 486
2995;SOCIETE RIOS SARL;IME;NABEUL;ZI Barraket Essahal Km 1 Route Sidi Jdidi Hammamet;72 243 777;72 226 777
2996;SOCIETE ROBERT BOSCH TUNISIE - RBTN;IME;NABEUL;Route de Korba MC 42 Km 0.8 Béni Khalled;72 370 205;72 371 937
2997;SOCIETE SELF INDUSTRIE;IME;NABEUL;10 Rue Charles Nicole Korba;72 389 600;72 389 700
2998;SOCIETE SIDU;IME;NABEUL;Route de Tunis KM 6  Nabeul  8020;72250240;72250460
2999;SOCIETE SITM;IME;NABEUL;Route de Beni Khalled Menzel Bouzelfa;72 293 344;72 293 556
3000;SOCIETE SOCAP;IME;NABEUL;Avenue Habib Bourguiba;72 221 000;72 225 455
3001;SOCIETE SOFEMED;IME;NABEUL;Route de Tunis Km 6 BP18;72 250 474;72 250 474
3002;SOCIETE SOFEMED INTERNATIONAL;IME;NABEUL;Route de Tunis Km 6 BP 74 Soliman;72 399 240/380;72 399 474
3003;SOCIETE SOFTEN;IME;NABEUL;Rue des Mathématiques ZI Grombalia;72 210 600;72 256 183
3004;SOCIETE SOPRECAB;IME;NABEUL;ZI Bou Argoub;72 259 556;72 259 660
3005;SOCIETE SPARCO INDUSTRIE NORD AFRIQUE;IME;NABEUL;Semmech Touta Km 32.7 GP 1 Grombalia;72 215 187/72210778;72 215 346/72214710
3006;SOCIETE STARCABLE SARL;IME;NABEUL;Avenue Fayçal Ibn Abdelaziz Hammamet;72 264 575;72 264 584
3007;SOCIETE SUPER CABLES;IME;NABEUL;Route GP1 Km 36 Grombalia;72 255 555;72 256 655
3008;SOCIETE SYSTEMES DES INDUSTRIES MECANIQUES - SIM;IME;NABEUL;Route de Tunis Km 2 Kélibia BP 101;72295501;72296495
3009;SOCIETE TFT;IME;NABEUL;13 Rue Mohamed Ben Khlaifa;72 224 366;72 272 655
3010;SOCIETE TRANSMETAL INDUSTRIE - TMI;IME;NABEUL;ZI Tazarka BP 29;72 234 268;72 234 276
3011;SOCIETE TUNILUX;IME;NABEUL;Zone des petits métiers Grombalia;72 256 699;72 257 820
3012;SOCIETE TUNISIE CABLAGES ELECTRIQUES - TCE;IME;NABEUL;ZI GROMBALIA;72 214 777;72 213 777
3013;SOCIETE TUNISIE CABLES;IME;NABEUL;Rue du lac lochness immeubles les Arcades tour A les berges du lac;71860244;71860571
3014;SOCIETE TUNISIE TECHNIQUE INTERNATIONALE - TTI;IME;NABEUL;Rue El Falek ZI Grambalia;72 255 954;72 255 980
3015;SOCIETE TUNISIENNE DE PANIFICATION - SOTUPAN;IME;NABEUL;Route de Aïn Tebournouk Km 1.8 Grombalia;72 211 853;72 211 853
3016;SOCIETE TUNISIENNE D'INDUSTRIE DE CABLAGES - STICAB;IME;NABEUL;Route Lattrache Bir Bouregba Hammamet;72 316 968;72 316 968
3017;SOCIETE TUNITAL;IME;NABEUL;Route sidi Jedidi Manaret Hammamet;72226566;72226580
3018;SOCIETE ZODIAC AUTOMOTIVE TUNISIE;IME;NABEUL;Nouvelle route de Korbous BP 67;72 392 270;72 291 561
3019;SOTUFRA;IME;NABEUL;Rue des Mathématique ZI Grombalia;72 255 260;72 255 783
3020;SOTUMECA;IME;NABEUL;Route de Tunis Km 6 Soliman;72 399 337;72 399 208
3021;STE DE CABLERIES ACCESSOIRES & TRANSMISSION - SCAT;IME;NABEUL;Route de Tunis Km 6 Soliman BP 18;72 399 240;72 399 460
3022;STE DE PROMOTION DES INDUSTRIES METALLIQUES - SPIM;IME;NABEUL;ZI Grombalia Rue des sciences Grombalia;72 255 310;72 256 182
3023;STE D'ETUDES ET DE CONSTRUCTION METALLIQUE - SECOMET;IME;NABEUL;Route de Sousse km 25 Fondouk Jedid;72 399 444;72 399 234
3024;STE LA PRATIQUE ELECTRONIQUE LPE;IME;NABEUL;Diar Ben Salem - BP25;72238550;72238593
3025;TEAM MANUFACTURING;IME;NABEUL;Technopole Borj Route touristique Solimen;31 130 058;79 325 100
3026;TECHAM;IME;NABEUL;"ZI de Nabeul-Route de Tunis 
8000 Nabeul  Tunisie
";72230137;72230137
3027;TUNISTAR;IME;NABEUL;Avenue Fayçal Ben Abdelaziz Hammamet;72 264 575;72 264 584
3028;VERNICOLOR TUNISIA;IME;NABEUL;Rue des mathÃ©matiques ZI Grombalia ;72212140;72212140
3029;ZODIAC COMPOSITE MONUMENTS TUNISIE;IME;NABEUL;Km 2 route Mc 42 de Benikhalled BP 258;72 392 270;27 291 561
3030;ZODIAC EQUIPEMENTS TUNISIE;IME;NABEUL;route de la poste Cheriffet;72 390 161;72 291 822
3031;ZODIAC SEATS TUNISIE;IME;NABEUL;Route de Tunis Km 6 Dahari BP 224 Soliman;72 333 480;72 333 479
3032;MAKTHARIS COMPANY OF ROLLERS AND RUBBER - MC 2R (EX: URS);IME;SELIANA;ZI Mkther;78 585 208;78 585 209
3033;SIMETAL SA;IME;SELIANA;BLV 14 Janvier Imm Carthage centre Khézama;73 240 900;73 240 902
3034;ABBES DE MENUISERIE ALUMINIUM;IME;SFAX;Route El Ain Km 6.5;74 631 561;74 653 022
3035;AEC -AUTOMOTIVE ELECTRIC AND ELECTRONIC COMPANY;IME;SFAX;Route El Ain KM 2,5  Merkez BP 33 El Alia 3051SFAX;04 246 610;04 246 610
3036;A.FRIKHA FORMES & OUTILS - A2FO;IME;SFAX;Route de Tunis Km 10 BP 78 Sakiet Ezzit;74 861 133;74 860 633
3037;ALIS COMPUTER;IME;SFAX;Rte Mnzel Chaker Km 5;74 216 800;74 216 988
3038;ATELIER MODERNE D'ELECTRICITE ET MOBILIER MEDICAL  AMEL;IME;SFAX;Z I Poudrière 2;74 432 594;74 432 153
3039;ATELIERS MECANIQUE DU SUD;IME;SFAX;ROUTE MENZEL CHAKER KM 0,5, SFAX;74 240 428;74 246  296
3040;CENTRE INDUSTRIEL D'ETUDE ET DE FABRICATION  CIEF;IME;SFAX;Rue Okba Ibn Nafaa Z.I. MADAGASCAR;74 497 033;74 497 034
3041;CONSTRUCTION ET EMBOUTISSAGE METALLIQUES-CEM;IME;SFAX;14, RUE UTIQUE SFAX;74408211;74408088
3042;EL WAFA METAL;IME;SFAX;Gremda Madina centre;74 443 651;74 443 652
3043;ENTREPRISE CHAFIK LOUKIL -ECL;IME;SFAX;Z.I. Poudrière II;74 258 950;74 259 355
3044;ENTREPRISE DU PROGRES INDUSTRIEL - EPI;IME;SFAX;Z.I Oued Chaabouni BP 65 Route Menzel Chaker;74 672 712;74 672 599
3045;ENTREPRISE MASMOUDI DE CONSTRUCTION METALLIQUE-EMCM;IME;SFAX;Route de Gabes km 4.5 à coté de la SIAPE;74 453 665;74 453 663
3046;ENTREPRISE MOALLA ALUMINIUM;IME;SFAX;Route aeroport ZI Oued Chaabouni;74 680 452;74 681 675
3047;EQUIPEMENT GENERAL DE BATIMENTS EXPORT;IME;SFAX;Av de carthage bloc B Medina Centre;74 401 202;74 401 201
3048;ETABLISSEMENT HATEM KRICHEN - EHK;IME;SFAX;Route Aéroport km 4 Z.I Oued Chaabouni;74 279 858;74 671 338
3049;ETABLISSEMENT SAKKA INDUSTRIE MECANIQUE;IME;SFAX;Route Saltnia Km 3 Poudrière 2;74 215 550;74 239 724
3050;ETABLISSEMENTS BOUASSIDA RACHID - EBR BALANCE;IME;SFAX;Route Saltnia Km 4;74 873 025;74 875 117
3051;ETABLISSEMENTS OMRANE SALEM & CIE;IME;SFAX;Route Sidi Mansour Km 4 BP 202;74 872 331;74 872 400
3052;FLUIDES SERVICES INDUSTRIE;IME;SFAX;Imm Saadi tour EF A 12 cité mahrajène El Menzah;71 233 136;71 766 982
3053;FOMAK;IME;SFAX;Rte de Gabes km5,5 Impasse Souk El Jomâa;74 675 514;74 675 514
3054;GLOBAL METALIC PRODUCT INDUSTRIES;IME;SFAX;Route de Gabes Km 9.5, Ceinture Agureb 3083 Tyna, Sfax, Tunisie;74686348;74686349
3055;HAMADI BOUHAMED ACEM;IME;SFAX;Route de Tunis KM 8,5;74 861 280;74 861 208
3056;INDUSTRIE METALLIQUE DU SUD - IMES;IME;SFAX;Route de tunis km 10;74 861 221;74 861 156
3057;INDUSTRIE MODERNE EN ALLIAGE;IME;SFAX;Z.I Oued Chaabounie BP 60-3071;74 672 310;74 672 290
3058;INDUSTRIES NOURI ABID - INA;IME;SFAX;Route Gabés Km 0.5;74 467 839;74 467 270
3059;INDUSTRIES NOURI ABID PETROLEUM - INAP;IME;SFAX;Route de Gabès Km 0.5;74 467 839;74 467 270
3060;INGENIERIE DE LA TOLERIE ET DU METAL - ITM;IME;SFAX;Route de Gabès km 9 ZI Thyna;31 407 603;32 407 603
3061;INTEGRATION TECHNIQUE ET CABLAGE - ITEC;IME;SFAX;AV 5 Aout Imm Carrefour 5eme étage B N°9;74 439 391;74 439 392
3062;INTERNATIONAL COMPANY OF ELECTRICITY AND AUTOMATION - ICEA;IME;SFAX;ZI WAD CHAABOUNI;74 670 830;74 670 850
3063;JARRAYA MOKHLES - EJCOM;IME;SFAX;ZI Madagascar;74 497 770;74 497 770
3064;JMAL INOX;IME;SFAX;ZI Poudrière II;74 443 283;74 443 286/25116353
3065;LA MAGHREBINE DE L'INDUSTRIE MECANIQUE - MIM;IME;SFAX;Route de Tunis Km 4 Merkez Bouasida;74 259 350;74 258 675
3066;LACMETAL;IME;SFAX;ZI Menzel Chaker km 41;71 922 522;71 923 440
3067;LES ATELIERS MECANIQUES DE PRECISION - AMECAP;IME;SFAX;ROUTE DE GABES KM 1.5 RUE IBN HAYTHEM 3003 SFAX;74468188;74468325
3068;LES ATELIERS MECANIQUES INDUSTRIELS - AMI;IME;SFAX;Route de l'aÃ©roport km 4 Z.I. Oued ChaÃ¢bouni Sfax;74278841;74279659
3069;LUMTEC;IME;SFAX;Awled Kacem Kerknnah;74 482 875;74 820 875
3070;MANUFACTURE OF AUTOMATION CONTROL SYSTEME-MAC SYSTEMS;IME;SFAX;ZI Oued Chaabouni km 4;74 670 830;74 670 850
3071;MANUFACTURE TECHNIQUE DES METAUX - MATEM;IME;SFAX;RTE AEROPORT KM 4.5 Z.I. OUED CHAABOUNI SFAX;74681933;74681935
3072;MANUFACTURE TUNISIENNE DES SERRURES-MTS;IME;SFAX;Route de l'aéroport Km 4 Oued Châabouni;74 278 407;74 279 540
3073;MECATRONIQUE ENGENNERING POUR SOLUTIONS DES SYSTEMES INDUSTRIELS-MESSI;IME;SFAX;ZI route Mehdia km 11;74 842 117/31403470;74 842 232/32403470
3074;MEDITERRANEAN INDUSTRIAL GROUP - MIG - EX HUARD TUNISIE;IME;SFAX;Route Mahdia Km 10 Sakiet Eddaier;74  831 666;74  831 655
3075;MENUISERIE EMPREINTE ALUMINUIM;IME;SFAX;Rue Abou Kacem chebbi Imm Elissa centre 5;74 225 753;74 225 743
3076;MIG- MEDITERRANEAN INDUSTRIAL GROUP;IME;SFAX;Rte de Mahdia Km 10;74  831 666;74  831 655
3077;MJM DECOLLETAGE;IME;SFAX;Route de l'aéroport Km 4.5;74 681 041/681;74 681 678
3078;PANTHERA INDUSTRIE;IME;SFAX;ZI poudrière rue Jamel Eddine Afghani;74 286 255;74 286 570
3079;REDUCE ENERGY;IME;SFAX;Route el Mehdia cité Jardin;74 862 319;
3080;SACMO;IME;SFAX;BP 33 - Z.I. 3038 Jebiniana;4280052;4280052
3081;SICOMECAH;IME;SFAX;ZI Poudrière 1 en face laboratoires SIVO;74 286 827;74 286 828
3082;SIG 2;IME;SFAX;Route de Gabes km 3;74 469 815;74 468 878
3083;SIMEG PLUS;IME;SFAX;Route de Tunis Km 23  El Ghraba;74 842 058;74 842 057
3084;SIPA -STE IDLLE DE PESAGE ET AUTOMATION;IME;SFAX;13 Rue Abou Kacem Chebbi;74 224 520;74 211 923
3085;SOCIETE  DES ATELIERS MECANIQUES BEN AYED FRERES;IME;SFAX;ZI Poudrière 2 Rue de la nature;74 259 980;74 259 984
3086;SOCIETE ABDESSATTAR BEN ABDALLAH - GIMO;IME;SFAX;Route Menzel chaker Km 5 ZI OUED CHAABOUNI;74 672 833;74 680 164
3087;SOCIETE ACIA SUD;IME;SFAX;Route Mahdia Km 10 Merkez Essebii Sakiet Eddayer;74 831 677;74 831 680
3088;SOCIETE ACIER ET TECHNOLOGIE;IME;SFAX;Route de lafrane km 5.5 BP 702;74 655 195;74 655 192
3089;SOCIETE ALU BAT;IME;SFAX;Route de l'aéroport km 4 Z.I Oued Châabouni;74 682 004;74 682 005
3090;SOCIETE AMINE CONFORT;IME;SFAX;Route de tunis Km 11 Sakiet Ezzit;74 861 196;74 862 269
3091;SOCIETE ARTILASER;IME;SFAX;Route Mahdia km 9 Sakiet Eddair;74 830 177;74 830 177
3092;SOCIETE AUTO TRINGLE;IME;SFAX;Route Kaied M'hamed Km 1.5;74 442 370;74 442 371
3093;SOCIETE AVENIR SERVICES;IME;SFAX;Route Menzel Chaker ZI Oued Chaabouni;74 681 871;74 681 872
3094;SOCIETE CEFER;IME;SFAX;Route de Tunis Km 11 Sakiet Ezzit;74 862 220;74 863 220
3095;SOCIETE CONSTRUCTION METALLIQUE ET MAINTENANCE INDUSTRIELLE - SOCOMMI;IME;SFAX;Av d'allgerie Imm Jallouli;74 281 008;74 281 170
3096;SOCIETE D'ARMEMENT ET DE CONSTRUCTION NAVALE - SACNA;IME;SFAX;Route du nouveau port de pêche;74 229 408;74 224 600
3097;SOCIETE DE CONSTRUCTION INDUSTRIELLES & NAVALES - SCIN;IME;SFAX;Avenue N° 2 au port BP 23;74 225 277;74 226 950
3098;SOCIETE DE FABRICATION ELETROMECANIQUE & de MAINTENANCE - SOFEM;IME;SFAX;23 Avenue Taieb M'Hiri;74 469 181;74 469 474
3099;SOCIETE DE FROID INDUSTRIEL - FRIGOLUX;IME;SFAX;Avenue 13 Août N° 3;74 288 482;74 288 186
3100;SOCIETE DE PESAGE MODERNE DU SUD - SPMS;IME;SFAX;125 Rue Haffouz;74 229 877;74 212 745
3101;SOCIETE DE PRODUCTION D'ARTICLES EN LAITON - SOPAL;IME;SFAX;Route de Gabès Km 1,5;74 468 900;74 468 218
3102;SOCIETE DE PRODUCTION METALLIQUE DU SUD  SPM SUD;IME;SFAX;Route de Mahdia Km 10 Merkez Essebai BP n°2;74830433;74832470
3103;SOCIETE DE REFENDAGE DE LA TOLE - SORETOL;IME;SFAX;Route de Gabès Km 8.5 BP 171;74 289 938;74 289 852
3104;SOCIETE DE TRANFORMATION DES METAUX -SOTRAMET;IME;SFAX;ZI AGAREB ROUTE DE MAHRAS SFAX;74407181;74407182
3105;SOCIETE DES ACCESSOIRES SANITAIRES - SANA;IME;SFAX;Route de Gabès Km 1.5;74 468 900;74 468 218
3106;SOCIETE DES ARTICLES METALLIQUES - SAM;IME;SFAX;Route de Tunis Km 10 Sakiet Ezzit BP 36;74 861 724/74862365;74 861 624
3107;SOCIETE DES INDUSTRIES DIVERSES;IME;SFAX;RTE DE GABES KM 8;74 289 643;74 289 778
3108;SOCIETE DES INGENIEURS POUR LES AFFAIRES SIAF;IME;SFAX;Z.I Poudrière Rue de cotton;74 442 294;74 442 295
3109;SOCIETE DES NON FERREUX - NOFER;IME;SFAX;Route de Gabès Km 3;74 469 059;74 469 326
3110;SOCIETE DES TRAVAUX ELECTRIQUES DE CABLAGE ET D'AUTOMATISME - SOTECA;IME;SFAX;Rocade entre Téniour et Kaied M'Hamed Km 4;74 660 360;74 660 374
3111;SOCIETE DES TRAVAUX ELECTRIQUES ET ELECTRONIQUES INDUSTRIELS-BEMAI;IME;SFAX;Route de Mahdia Km 4 Merkez Kaânich;74 232 633;74 232 542
3112;SOCIETE D'INGENIERIE ET DES TRAVAUX ELECTROMECANIQUES -SITE;IME;SFAX;BP 112 Oued Chaâbouni;74 464 826;74 464 826
3113;SOCIETE ELECTRO LUMIERE - SEL;IME;SFAX;ZI Sidi Slah Route de Tunis Km 15 BP 11 Skiet Ezzit;74 273 013;74 273 255
3114;SOCIETE ENGINEERING & CUTTING PRECISION - ECP;IME;SFAX;Zone industrielle PoudriÃšre 1 Sfax;74462342;74460998
