Ville;Adresse;Téléphone/ email;Fax
Beyrouth;Youssef Building - Badaro Sami El Solh Street / Beirut - Lebanon - P.O. Box : 5019 - 116;+961 1 383 074 / +961 1 383 076;+961 1 383 074 / +961 1 383 076
;;sales.liban@tunisair.com.tn;
;TUNISAIR Airport Station Rafik Hariri International Airport - 2nd Floort;+961 1 628 251;+961 1 628 251
;;escale.beyrouth@tunisair.com.tn;
Istanbul;Valikonagi Cad Bizim Apt 8/1 Nisantasi Istanbul;902 122 417 097;902 122 311 054
;;902 122 258 853;
;;info@tunisairturquie.com;
;;agences@tunisairturquie.com;
;;escale@ tunisairturquie.com;
Belgrade;Nusiceva 8 Belgrade 11000, Serbia;00381 11 3235900;00381 11 3237775
;;info@tunisair.rs;
;;natasa.vuckovic@tunisair.rs;
Rome;Représentation et Agence Via Piemonte 39 – 00187 Rome;0039 06 42 11 31;0039 06 42 82 17 55
;;tunisair.roma@tunisair.it ;
;Agence:;0039 06 42 11 32 72 - 62;0039 06 42 82 17 55
;;servizio.biglietteria@tunisair.it ;
;Réservation Groupes:;0039 06 42 113 216;
;;servizio.commerciale@tunisair.it ;
;Aéroport Da Vinci Fiumicino;0039 06 65 01 01 87;0039 06 65 01 00 19
;;tunisair.fiumicino@tunisair.it ;
Barcelone;Aeropuerto de El Prat - Terminal 1 (T1) Dique Norte - Box 213;0034 93 488 10 05;0034 93 487 66 98
;08820 El Prat de Llobregat;tunisair.bcn@tunisair.com.es;
;Barcelona - España;escale.bcn@tunisair.com.es;
;Call Center / Agence;0034 912 90 60 03;
Lisbonne;AEROPORTO DE LISBOA Rua C – Edif. 124 – Piso 0 – Gab. 1A 1700-008 Lisboa – Portugal;00 351 21 849 63 50/64;00351 21 849 63 46
;;tunisair-reservas@mail.telepac.pt ;
;;;
;Call Center;351 300 505 644;
Madrid;Direction : Plaza de Los Mostenses 13 Edificio Parking, 1a planta 28015 Madrid Espagne;0034 91 541 94 98;
;;tunisair.madrid@infonegocio.com;
;Agence:;0034 91 541 94 90;0034 91 542 30 36
;Escale : Adolfo Suarez Madrid Barajas (T1);0034 91 305 63 58;
;Call Center/Agence;0034 91 541 94 99;
;Call Center;+34 912 90 60 03;
Marseille;Représentation/Administration Le Grand Prado 15 Allée Turcat-Mery 13008 Marseille;0033 4 91 32 84 35;
;;agence.marseille@tunisair.fr;
;Agence Réservation;0033 4 91 32 84 32;
;;0033 4 91 32 84 33;
;;0033 4 91 32 84 35;
;Aéroport Marseille Provence;0033 4 42 14 21 75;
;;agence.marseille@tunisair.fr;
;Call Center;0820 044 044 /+33 1 85 15 07 81;
Toulouse;Représentation 76, allée Jean Jaurès 31000 Toulouse;0033 5 61 62 77 11;0033 5 61 62 07 39
;;0033 5 61 62 07 03/43;
;;tu.toulouse@tunisair.fr;
;Call center;0 820 044 044 /+33 1 85 15 07 81;
Nice;Aéroport Nice Côte d'Azur - Terminal II- 06281 NICE Cedex 3;+33 (0)4 93 21 73 65;
;;tu.nice@tunisair.fr;
;;commercial.nice@tunisair.com.tn;
Bologne;Représentation pour le nord de l’Italie et agence Via Baracchini 9 - 20123 Milan;+39 02 80 57 7 52;0039 02 72 02 29 12
;;+39 02 86 91 94 55;
;;tunisair.milano@tunisair.it;
;Airport Malpensa 2000;0039 02 58 58 03 81;0039 02 58 58 10 21
;;tunisair.malpensa@tunisair.it;
Milan;Représentation pour le nord de l’Italie et agence Via Baracchini 9 - 20123 Milan;+39 02 80 57 7 52;0039 02 72 02 29 12
;;+39 02 86 91 94 55;
;;tunisair.milano@tunisair.it;
;Airport Malpensa 2000;0039 02 58 58 03 81;0039 02 58 58 10 21
;;tunisair.malpensa@tunisair.it;
Venise;Représentation pour le nord de l’Italie et agence Via Baracchini 9 - 20123 Milan;+39 02 80 57 7 52;0039 02 72 02 29 12
;;+39 02 86 91 94 55;
;;tunisair.milano@tunisair.it;
;Airport Malpensa 2000;0039 02 58 58 03 81;0039 02 58 58 10 21
;;tunisair.malpensa@tunisair.it;
Bordeaux;Représentation 76, allée Jean Jaurès 31000 Toulouse;0033 5 61 62 77 11;0033 5 61 62 07 39
;;0033 5 61 62 07 03/43;
;;tu.toulouse@tunisair.fr;
;Call center;0 820 044 044 / +33 1 85 15 07 81;
Nantes;Direction/Agence: 15 Av de Friedland;0033 1 42 12 31 00;0033 1 44 15 90 00
;Agence;0033 1 42 12 31 42/32/28;
;Service Groupes;0033 1 42 12 31 04/34;
;Aéroport Orly Sud (14km);0033 1 49 75 67 75;0033 1 49 75 68 51
;Call Center;330 820 044 044;
;;/ +33 1 85 15 07 81;
Lyon;33 Quai St Antoine 69002 Lyon;0033 4 72 77 37 37;
;Direction;0033 4 72 77 37 25;0033 4 72 77 37 24
;;tu.lyon@tunisair.fr;
;Aéroport BP St. Exupéry: 104 69125;0033 4 72 22 75 08;
;Cargo;0033 4 72 22 52 25;0033 4 72 22 75 09
;;tu.lyon@tunisair.fr;
;Call Center;0820 044 044 /+33 1 85 15 07 81;
Paris;Direction/Agence: 15 Av de Friedland;0033 1 42 12 31 00;0033 1 44 15 90 00
;Agence;0033 1 42 12 31 42/32/28;
;Service Groupes;0033 1 42 12 31 04/34;
;Aéroport Orly Sud (14km);0033 1 49 75 67 75;0033 1 49 75 68 51
;Call Center;330 820 044 044;
;;/ +33 1 85 15 07 81;
GENEVE;World Trade Center 1 - Route de l'aéroport 10 - CP 805 - 1215 Genève;41 227 161 720;41 227 382 189
;;direction@tunisair.ch ;
;Genève Agence : Aéroport de Genève.;0041 (0) 840 07 07 07;
;Aéroport Cointrin, 1215 Genève;reservation@tunisair.ch ;
;;reservation1@tunisair.ch;
;Genève Escale : Aéroport de Genève;41 227 178 448;41 227 178 449
;;escale.geneve@tunisair.ch ;
;Call center;+41 22 545 37 31;
Zurich;Zürich Escale : Aéroport de Zürich Terminal 2 BP 2532 CH-8060 Zürich;0041 (0) 43 816 28 24;0041 (0) 43 816 28 11
;;escale.zurich@tunisair.ch ;
;Zürich Agence : Agence & Réservation;0041 (0) 840 07 07 07;
;;resa.zrh@tunisair.ch;
;Call center;+41 22 545 37 31;
Munich;Schwanthalerstraße 5;0049 89 59 56 53/54;0049 89 5 50 35 19
;80336 München;muenchen@tunisair.de;
Strasbourg;Direction/Agence: 15 Av de Friedland;0033 1 42 12 31 00;0033 1 44 15 90 00
;Agence;0033 1 42 12 31 42/32/28;
;Service Groupes;0033 1 42 12 31 04/34;
;Aéroport Orly Sud (14km);0033 1 49 75 67 75;0033 1 49 75 68 51
;Call Center;330 820 044 044;
;;/ +33 1 85 15 07 81;
Vienne;Administration, Agence et Réservation :Opernring 7/15Vienne 1010 - Austria;0043 1 581 42 06/07;0043 1 581 42 08
;;office@tunisair.co.at;
;Call center;+43 1 2650 330;
Londres;Représentation : 26-28 Hammersmith Grove London W6 7BA;2088341055;
;Aéroport (24 km) Heathrow Terminal 4 Pod 2, TW6 3XA;0044 20 8564 9597;4 402 074 370 537
;;4 402 087 590 083;
;Réservations:;reservation@tunisairuk.co.uk;
;Réclamations:;Mounir.baccouche@tunisairuk.co.uk;
;;Omar.guettoch@tunisairuk.co.uk;
;Call center;(+44) 203 056 89 98;
Bruxelles;Avenue Louise n° 182 1050 - Bruxelles Belgique;0032 (0) 2 627 05 61;0032 (0) 2 627 05 71
;Agence/ Réservations;0032 (0) 2 627 05 50;0032 (0) 2 627 05 75
;;resa@tunisairbxl.be;
;Escale & Fret à l'aéroport de Bruxelles-Zaventem;0032 (0) 2 753 26 66 (Escale);0032 (0) 2 753 25 26
;;0032 (0) 2 721 65 80 (Fret);
;;tunisair.zaventem@skynet.be;
;Call Center;+32 28 80 10 72;
Francfort;Kaiserstraße 44, 60329 Frankfurt/Main;0049 69 27 10 01 0/ 10/ 11/ 16;0049 69 27 10 01 35
;;promotion.fra@tunisair.de;
;;www.tunisair.de;
;Aéroport BP : 23, 60549 Frankfurt/Main;0049 69 69 05 52 81;0049 69 69 04 84 61
;;centre.fra@tunisair.de ;
;Ticket Counter : Terminal 1, Halle C, Counter 727.5;0049 69 69 02 18 10;
;Call center;(+49)6990 235 000;
Dusseldorf;Berliner Allee 47, 40212 Düsseldorf;0049 211 32309 16/ 17/ 18;49 211 132 471
;;duesseldorf@tunisair.de;
;Call center;(+49) 6990 235 000;
Prague;Administration, Agence et Réservation :Opernring 7/15Vienne 1010 - Austria;0043 1 581 42 06/07;0043 1 581 42 08
;;office@tunisair.co.at;
;Call center;+43 1 2650 330;
Amsterdam;GSA “APG Air Agencies Holland”;+31 20 316 1916;+31 20 316 1999
;Flamingoweg 9 – room 280;tunisair@airagencies.nl;
;1118 EE Schiphol;;
;Call center;+31 20 811 07 91;
;Agence aéroport Schiphol;203 161 959;
;Ticketdesk, departure hall 3 opposite checkin row 22;;
Berlin;Kaiserstraße 44, 60329 Frankfurt/Main;0049 69 27 10 01 0/ 10/ 11/ 16;0049 69 27 10 01 35
;;promotion.fra@tunisair.de;
;;www.tunisair.de;
;Aéroport BP : 23, 60549 Frankfurt/Main;0049 69 69 05 52 81;0049 69 69 04 84 61
;;centre.fra@tunisair.de ;
;Ticket Counter : Terminal 1, Halle C, Counter 727.5;0049 69 69 02 18 10;
;Call center;(+49) 6990 235 000;
Hambourg;Kaiserstraße 44, 60329 Frankfurt/Main;0049 69 27 10 01 0/ 10/ 11/ 16;0049 69 27 10 01 35
;;promotion.fra@tunisair.de;
;;www.tunisair.de;
;Aéroport BP : 23, 60549 Frankfurt/Main;0049 69 69 05 52 81;0049 69 69 04 84 61
;;centre.fra@tunisair.de ;
;Ticket Counter : Terminal 1, Halle C, Counter 727.5;0049 69 69 02 18 10;
;Call center;(+49) 6990 235 000;
Moscou;Administration, Agence et Réservation :Opernring 7/15Vienne 1010 - Austria;0043 1 581 42 06/07;0043 1 581 42 08
;;office@tunisair.co.at;
;Call center;+43 1 2650 330;
