الرمز,رمز النشر,الإسم,العنوان,ت.ب,الولاية,مجال النشاط,الهاتف,الفاكس,البريد الإلكتروني,موقع الواب,تاريخ التكوين,عدد الرائد الرسمي,تاريخ  الرائد الرسمي,عدد المنخرطين,عدد الموظفين,الأهداف
9357,,الجمعية المحلية القرآنية بالروحية,شارع الحبيب بورقيبة الروحية,,سليانة,ثقافية،فنية,,,,,1990-07-14,0,1990-07-14,0,0,
9358,,الجمعية المحلية القرآنية بقعفور,جامع قعفور المدينة,,سليانة,ثقافية،فنية,,,,,1990-07-14,0,1990-09-08,0,0,
9359,,الجمعية المحلية القرآنية بالعروسة,العروسة,,سليانة,ثقافية،فنية,,,,,1997-07-13,0,1997-10-19,0,0,"التشجيع على حفظ القرآن الكريم 
الإشراف على المؤذنين القائمين على التحفيظ"
9360,91T0392ASSA1,الجمعية المحلية القرآنية بكسرى,كسرى,,سليانة,ثقافية،فنية,,,,,1990-07-14,13,1991-02-12,0,0,"التشجيع على حفظ القرآن الكريم 
الإشراف على المؤذنين القائمين على التحفيظ"
9361,91T0393ASSA1,الجمعية المحلية القرآنية بمكثر,مكثر,,سليانة,ثقافية،فنية,,,,,1990-07-14,13,1991-02-12,0,0,"التشجيع على حفظ القرآن الكريم 
الإشراف على المؤذنين القائمين على التحفيظ"
9362,,الجمعية المحلية القرآنية بالكريب,الكريب,,سليانة,ثقافية،فنية,,,,,1990-07-14,0,1990-10-07,0,0,"التشجيع على حفظ القرآن الكريم 
الإشراف على المؤذنين القائمين على التحفيظ"
9363,,الجمعية المحلية القرآنية ببرقو,برقو,,سليانة,ثقافية،فنية,,,,,1990-07-13,0,1990-11-10,0,0,"التشجيع على حفظ القرآن الكريم 
الإشراف على المؤذنين القائمين على التحفيظ"
9364,,الجمعية المحلية القرآنية ببوعرادة,بوعرادة,,سليانة,ثقافية،فنية,,,,,1990-07-14,0,1990-10-05,0,0,"التشجيع على حفظ القرآن الكريم 
الإشراف على المؤذنين القائمين على التحفيظ"
9366,,الجمعية المحلية القرآنية سليانة الشمالية,سليانة,,سليانة,ثقافية،فنية,,,,,1991-05-04,0,1991-07-05,0,0,"التشجيع على حفظ القرآن الكريم 
الإشراف على المؤذنين القائمين على التحفيظ"
9382,,الجمعية المحلية القرآنية سليانة الجنوبية,سليانة الجنوبية,,سليانة,ثقافية،فنية,,,,,1992-07-14,0,1992-10-17,0,0,"التشجيع على حفظ القرآن الكريم 
الإشراف على المؤذنين القائمين على التحفيظ"
9442,91T0450ASSA1,الجمعية المحلية القرآنية سيدي بورويس سليانة,سيدي بورويس,,سليانة,ثقافية،فنية,,,,,1990-07-14,15,1991-02-19,0,0,"التشجيع على حفظ القرآن الكريم 
الإشراف على المؤذنين القائمين على التحفيظ"
9888,,الجمعية الجهوية للصيادين بسليانة,سليانة,,سليانة,ثقافية،فنية,,,,,1975-06-10,0,1975-06-10,0,0,
9889,2006R02250APSF1,الجمعية الجهوية للتضامن الرقمي,دار الجمعيات نهج 3 اوت سليانة,6100,سليانة,ثقافية،فنية,,,info.arsn@yahoo.fr,,2006-06-09,46,2006-06-09,0,0,
9890,2006R02250APSF1,الجمعية المحلية للتضامن الرقمي بسليانة ,سليانة الجنوبية,0,سليانة,ثقافية،فنية,,,,,2006-12-22,106,2006-12-22,0,0,شر الثقافة الرقمية.
9892,2008T01068APSF1,جمعية نشر الثقافة الرقمية بسليانة الجنوبية,المعهد العالي للدراسات التكنولوجية بسليانة,0,سليانة,ثقافية،فنية,,,,,2008-02-29,18,2008-02-29,0,0,نشر الثقافة الرقمية
9893,,النادي الثقافي 13 أوت  سليانة الجنوبية,سليانة الجنوبية,,سليانة,ثقافية،فنية,,,,,1997-03-03,0,1997-06-10,0,0,
16610,2011L00047APSF1,جمعية جدل الثقافية مكثر,شارع فرحات حشاد مكثر,0,سليانة,ثقافية،فنية,97239810,,jadalculturelle@gmail.com,jadal-culturelle.blogspot.com,2011-08-06,94,2011-08-06,0,0,المساهمة في نشر الثقافة والتشجيع
,,,,,,,,,,,,,,,,
17046,2011T05311APSF1,جمعية الثقافة للمسرح والتنشيط ببوعرادة,دار الثقافة بوعرادة,0,سليانة,ثقافية،فنية,97372398,,,,2011-09-27,116,2011-09-27,0,0,التكوين في الفن المسرحي
19692,2012L00038APSF1,جمعية مركز ابن خلدون للندوات الفكرية والأدبية والعلمية,المركب الثقافي بسليانة,,سليانة,ثقافية،فنية,51669723,,,,2012-04-24,49,2012-04-24,0,0,عقد ندوات ونشر المميز منها
19735,2012R01550APSF1,جمعية أولياء تلاميذ الإعدادية بوعرقوب,شارع الطيب المهيري بوعرقوب,0,سليانة,ثقافية،فنية,,,,,2012-04-28,51,2012-04-28,2,1,ربط الصلة بين الولي والمدرسة
